-27 09:46:39 | ST0=[1110.72kg, 1110.84kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:08:48 | ST0=[1111.04kg, 1111.16kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:08:49 | ST0=[1111.05kg, 1111.16kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:08:50 | ST0=[1111.05kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:08:51 | ST0=[1111.05kg, 1111.16kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:08:52 | ST0=[1111.05kg, 1111.16kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:08:53 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:08:54 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:08:55 | ST0=[1111.05kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:08:56 | ST0=[1111.05kg, 1111.16kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:08:57 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:08:58 | ST0=[1111.05kg, 1111.16kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:08:59 | ST0=[1111.05kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:00 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:01 | ST0=[1111.05kg, 1111.16kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:02 | ST0=[1111.05kg, 1111.16kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:03 | ST0=[1111.05kg, 1111.16kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:04 | ST0=[1111.05kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:05 | ST0=[1111.05kg, 1111.16kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:06 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:07 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:08 | ST0=[1111.05kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:09 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:10 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:11 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:12 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:13 | ST0=[1111.05kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:14 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:15 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:16 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:17 | ST0=[1111.05kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:18 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:19 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:20 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:21 | ST0=[1111.05kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:22 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:23 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:24 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:25 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:26 | ST0=[1111.05kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:27 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:28 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:29 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:30 | ST0=[1111.05kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:31 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:32 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:33 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:34 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:35 | ST0=[1111.05kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:36 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:37 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:38 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:39 | ST0=[1111.05kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:40 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:41 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:42 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:43 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:44 | ST0=[1111.06kg, 1111.17kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:45 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:46 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:47 | ST0=[1111.06kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:48 | ST0=[1111.05kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:49 | ST0=[1111.06kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:50 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:51 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:52 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:53 | ST0=[1111.05kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:54 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:55 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:56 | ST0=[1111.06kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:57 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:09:58 | ST0=[1111.06kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:09:59 | ST0=[1111.05kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:00 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:01 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:02 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:03 | ST0=[1111.05kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:04 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:05 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:06 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:07 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:08 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:09 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:10 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:11 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:12 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:13 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:14 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:15 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:16 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:17 | ST0=[1111.06kg, 1111.17kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:18 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:19 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:20 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:21 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:22 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:23 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:24 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:25 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:26 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:27 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:28 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:29 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:30 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:31 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:32 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:33 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:34 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:35 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:36 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:37 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:38 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:39 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:40 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:41 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:42 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:43 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:44 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:45 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:46 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:47 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:48 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:49 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:50 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:51 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:52 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:53 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:54 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:55 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:10:56 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:57 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:58 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:10:59 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:00 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:01 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:02 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:03 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:04 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:05 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:06 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:07 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:08 | ST0=[1111.06kg, 1111.19kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:09 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:10 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:11 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:12 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:13 | ST0=[1111.06kg, 1111.19kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:14 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:15 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:16 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:17 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:18 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:19 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:20 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:21 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:22 | ST0=[1111.06kg, 1111.19kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:23 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:24 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:25 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:26 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:27 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:28 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:29 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:30 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:31 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:32 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:33 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:34 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:35 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:36 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:37 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:38 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:39 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:40 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:41 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:42 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:43 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:44 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:45 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:46 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:47 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:48 | ST0=[1111.06kg, 1111.19kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:49 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:50 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:51 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:52 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:53 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:54 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:55 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:56 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:57 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:11:58 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:11:59 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:00 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:01 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:02 | ST0=[1111.06kg, 1111.19kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:03 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:04 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:05 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:06 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:07 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:08 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:09 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:10 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:11 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:12 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:13 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:14 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:15 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:16 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:17 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:18 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:19 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:20 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:21 | ST0=[1111.07kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:22 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:23 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:24 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:25 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:26 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:27 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:28 | ST0=[1111.06kg, 1111.18kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:29 | ST0=[1111.06kg, 1111.18kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:30 | ST0=[1111.06kg, 1111.19kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:31 | ST0=[***, ***] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:32 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:33 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:34 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:35 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:36 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:37 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:38 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:39 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:40 | ST0=[0.04kg, 0.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:41 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:42 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:43 | ST0=[0.04kg, 0.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:44 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:45 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:46 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:47 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:48 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:49 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:50 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:51 | ST0=[0.04kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:52 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:53 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:54 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:12:55 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:56 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:57 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:58 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:12:59 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:13:00 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:13:01 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:13:02 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:13:03 | ST0=[0.05kg, 0.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 10:13:04 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:13:05 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 10:13:06 | ST0=[0.05kg, 0.05kg] (200) WE: 4080[RS232-PRINTER]
