-27 09:46:39 | ST0=[1110.72kg, 1110.84kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:09 | ST0=[1110.86kg, 1110.96kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:10 | ST0=[1110.86kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:11 | ST0=[1110.86kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:12 | ST0=[1110.86kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:13 | ST0=[1110.86kg, 1110.97kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:14 | ST0=[1110.86kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:15 | ST0=[1110.87kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:16 | ST0=[1110.87kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:17 | ST0=[1110.87kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:18 | ST0=[1110.87kg, 1110.98kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:19 | ST0=[1110.87kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:20 | ST0=[1110.87kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:21 | ST0=[1110.87kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:22 | ST0=[1110.87kg, 1110.98kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:23 | ST0=[1110.87kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:24 | ST0=[1110.87kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:25 | ST0=[1110.87kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:26 | ST0=[1110.88kg, 1110.98kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:27 | ST0=[1110.88kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:28 | ST0=[1110.88kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:29 | ST0=[1110.88kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:30 | ST0=[1110.88kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:31 | ST0=[1110.88kg, 1110.99kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:32 | ST0=[1110.88kg, 1110.99kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:33 | ST0=[1110.88kg, 1110.98kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:34 | ST0=[1110.88kg, 1110.99kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:35 | ST0=[1110.88kg, 1110.99kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:36 | ST0=[1110.88kg, 1110.99kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:37 | ST0=[1110.88kg, 1110.99kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:38 | ST0=[1110.88kg, 1110.99kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:39 | ST0=[1110.88kg, 1110.99kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:40 | ST0=[1110.88kg, 1110.99kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:41 | ST0=[1110.89kg, 1110.99kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:42 | ST0=[1110.89kg, 1110.99kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:43 | ST0=[1110.89kg, 1110.99kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:44 | ST0=[1110.89kg, 1110.99kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:45 | ST0=[1110.89kg, 1111.00kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:46 | ST0=[1110.89kg, 1111.00kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:47 | ST0=[1110.89kg, 1111.00kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:48 | ST0=[1110.89kg, 1111.00kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:49 | ST0=[1110.89kg, 1111.00kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:50 | ST0=[1110.89kg, 1111.00kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:51 | ST0=[1110.89kg, 1111.00kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:52 | ST0=[1110.89kg, 1111.00kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:53 | ST0=[1110.90kg, 1111.00kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:54 | ST0=[1110.90kg, 1111.00kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:55 | ST0=[1110.90kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:56 | ST0=[1110.90kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:57 | ST0=[1110.90kg, 1111.02kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:58 | ST0=[1110.90kg, 1111.02kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:59 | ST0=[1110.90kg, 1111.00kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:00 | ST0=[1110.90kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:01 | ST0=[1110.90kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:02 | ST0=[1110.90kg, 1111.01kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:03 | ST0=[1110.90kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:04 | ST0=[1110.90kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:05 | ST0=[1110.90kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:06 | ST0=[1110.90kg, 1111.01kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:07 | ST0=[1110.90kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:08 | ST0=[1110.90kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:09 | ST0=[1110.91kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:10 | ST0=[1110.91kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:11 | ST0=[1110.91kg, 1111.01kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:12 | ST0=[1110.91kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:13 | ST0=[1110.91kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:14 | ST0=[1110.91kg, 1111.01kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:15 | ST0=[1110.91kg, 1111.01kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:16 | ST0=[1110.91kg, 1111.02kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:17 | ST0=[1110.91kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:18 | ST0=[1110.91kg, 1111.02kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:19 | ST0=[1110.91kg, 1111.02kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:20 | ST0=[1110.91kg, 1111.02kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:21 | ST0=[1110.91kg, 1111.02kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:22 | ST0=[1110.91kg, 1111.02kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:23 | ST0=[1110.91kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:24 | ST0=[1110.91kg, 1111.02kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:25 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:26 | ST0=[1110.92kg, 1111.02kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:27 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:28 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:29 | ST0=[1110.92kg, 1111.03kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:30 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:31 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:32 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:33 | ST0=[1110.92kg, 1111.03kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:34 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:35 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:36 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:37 | ST0=[1110.92kg, 1111.03kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:38 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:39 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:40 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:41 | ST0=[1110.92kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:42 | ST0=[1110.92kg, 1111.03kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:43 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:44 | ST0=[1110.92kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:45 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:46 | ST0=[1110.93kg, 1111.04kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:47 | ST0=[1110.93kg, 1111.03kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:48 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:49 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:50 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:51 | ST0=[1110.93kg, 1111.04kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:52 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:53 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:54 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:55 | ST0=[1110.93kg, 1111.04kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:49:56 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:57 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:58 | ST0=[1110.93kg, 1111.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:49:59 | ST0=[1110.93kg, 1111.04kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:00 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:01 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:02 | ST0=[1110.94kg, 1111.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:03 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:04 | ST0=[1110.94kg, 1111.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:05 | ST0=[1110.94kg, 1111.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:06 | ST0=[1110.93kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:07 | ST0=[1110.94kg, 1111.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:08 | ST0=[1110.94kg, 1111.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:09 | ST0=[1110.94kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:10 | ST0=[1110.94kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:11 | ST0=[1110.94kg, 1111.04kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:12 | ST0=[1110.94kg, 1111.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:13 | ST0=[1110.94kg, 1111.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:14 | ST0=[1110.94kg, 1111.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:15 | ST0=[1110.94kg, 1111.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:16 | ST0=[1110.94kg, 1111.05kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:17 | ST0=[1110.95kg, 1111.07kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:18 | ST0=[1110.95kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:19 | ST0=[1110.94kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:20 | ST0=[1110.94kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:21 | ST0=[1110.94kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:22 | ST0=[1110.94kg, 1111.06kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:23 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:24 | ST0=[1110.94kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:25 | ST0=[1110.94kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:26 | ST0=[1110.94kg, 1111.05kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:27 | ST0=[1110.95kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:28 | ST0=[1110.94kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:29 | ST0=[1110.95kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:30 | ST0=[1110.95kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:31 | ST0=[1110.95kg, 1111.06kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:32 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
